"","genes","logFC","logCPM","F","PValue","FDR"
"ENSG00000165156.15","ENSG00000165156.15",0.3347383875866,4.60948911698951,8.83920324054927,0.00311588613045942,0.00541109024102938
"ENSG00000116560.11","ENSG00000116560.11",0.202474582806786,5.66205100163977,8.83519724068831,0.00312259168216678,0.00542113217348847
"ENSG00000100557.10","ENSG00000100557.10",-0.506668977324209,3.55256484654351,8.83507411505102,0.00312279801243659,0.00542113217348847
"ENSG00000064999.15","ENSG00000064999.15",-0.341422633418452,3.00772411004864,13.8266752266511,0.00313749020198479,0.00544565285464725
"ENSG00000149483.12","ENSG00000149483.12",0.268829154606475,3.4194108874064,11.3718142453184,0.00314207564406014,0.00545262584652519
"ENSG00000112685.14","ENSG00000112685.14",0.211347289704651,3.95799703814401,8.8173708227253,0.00315260993481255,0.00546991783376115
"ENSG00000107331.17","ENSG00000107331.17",0.431217832888247,4.12705053813854,8.81261110372774,0.00316067461387578,0.00548291946028325
"ENSG00000163558.13","ENSG00000163558.13",0.287646722062173,3.20521271143536,8.80750017516224,0.00316935781019784,0.0054969891558987
"ENSG00000111670.16","ENSG00000111670.16",0.314016531154781,2.97430323322683,8.80585172484636,0.0031721636285257,0.00550086178357057
"ENSG00000147576.17","ENSG00000147576.17",-0.521070234274516,3.47713741803465,8.79847468925482,0.0031847511279511,0.00552169240172126
"ENSG00000220842.6","ENSG00000220842.6",-0.584917388599519,4.53962230748861,8.79528677494897,0.00319020645507975,0.00553015203480781
"ENSG00000116661.11","ENSG00000116661.11",0.831737286776866,5.25538460360404,8.79333419869545,0.00319355251474305,0.00553495290513329
"ENSG00000175416.16","ENSG00000175416.16",0.315908604453661,6.48489816747669,8.79012323107958,0.00319906282378492,0.0055435023661255
"ENSG00000245532.9","ENSG00000245532.9",0.481882789685649,4.83166504428699,8.78966341735398,0.00319985269927852,0.0055438704048139
"ENSG00000176248.9","ENSG00000176248.9",0.215443865941763,4.53437651039657,8.78305983682602,0.00321121841613512,0.00556255806475949
"ENSG00000136044.12","ENSG00000136044.12",0.274348477158029,3.81147321954366,8.77415940287401,0.00322660256768561,0.00558819856571927
